file,line,class_physical,rule,priority,context
apps/web/src/components/sections/TableOfContents.tsx,44,pl-4,pl->ps,P0,<li key={h.id} className={cn(h.depth === 3 && 'pl-4')}>
apps/web/src/components/sections/TableOfContents.tsx,49,pl-3,pl->ps,P0,"'block border-l border-transparent pl-3 leading-snug transition-colors',"
apps/web/src/components/forms/Field.tsx,28,ml-1,ml->ms,P0,"<span aria-hidden=""true"" className=""ml-1 text-encre/50"">"
apps/web/src/components/forms/ErrorState.tsx,9,pl-6,pl->ps,P0,"className=""border-l-2 border-encre pl-6 py-2 text-sm text-encre"""
apps/web/src/components/forms/ErrorState.tsx,9,border-l-2,border-l->border-s,P0,"className=""border-l-2 border-encre pl-6 py-2 text-sm text-encre"""
apps/web/src/components/forms/SuccessState.tsx,17,pl-6,pl->ps,P0,"className=""space-y-3 border-l-2 border-sauge pl-6 py-2"""
apps/web/src/components/forms/SuccessState.tsx,17,border-l-2,border-l->border-s,P0,"className=""space-y-3 border-l-2 border-sauge pl-6 py-2"""
apps/web/src/components/patterns/Footnote.tsx,7,ml-0.5,ml->ms,P0,"<sup id={`fn-${n}`} className=""ml-0.5 text-[0.7em] font-body"">"
apps/web/src/components/patterns/Footnote.tsx,27,pl-6,pl->ps,P0,className={`mt-12 list-decimal space-y-2 pl-6 text-sm leading-relaxed text-encre/70 ${className ?? ''}`}
apps/web/src/components/patterns/Footnote.tsx,35,ml-1,ml->ms,P0,"className=""ml-1 inline-block underline-offset-2 hover:underline focus-visible:underline"""
apps/web/src/components/chat/MessageList.tsx,228,text-left,text-left->text-start,P0,"'px-4 py-3 text-left text-sm font-medium text-stone-800',"
apps/web/src/components/chat/MessageBubble.tsx,46,ml-1,ml->ms,P0,"className=""ml-1 inline-block h-2 w-2 animate-pulse rounded-full bg-stone-500"""
apps/web/src/components/chat/MessageBubble.tsx,68,pl-3,pl->ps,P0,"<ul className=""mt-1 space-y-0.5 pl-3"">"
apps/web/src/components/chat/ChatPanel.tsx,166,left-5,left->start,P0,// et neutralise `right-5` / `left-5`. On garde les variantes `sm:` pour
apps/web/src/components/chat/ChatPanel.tsx,166,right-5,right->end,P0,// et neutralise `right-5` / `left-5`. On garde les variantes `sm:` pour
apps/web/src/components/chat/ChatPanel.tsx,168,left-7,left->start,P0,const positionClass = isRtl ? 'sm:left-7' : 'sm:right-7';
apps/web/src/components/chat/ChatPanel.tsx,168,right-7,right->end,P0,const positionClass = isRtl ? 'sm:left-7' : 'sm:right-7';
apps/web/src/components/chat/ChatLauncher.tsx,40,left-5,left->start,P0,positionClass = 'left-5 sm:left-7';
apps/web/src/components/chat/ChatLauncher.tsx,40,left-7,left->start,P0,positionClass = 'left-5 sm:left-7';
apps/web/src/components/chat/ChatLauncher.tsx,42,right-5,right->end,P0,// Mobile : on reste à `right-5` (le décalage vertical suffit) ; sm+ :
apps/web/src/components/chat/ChatLauncher.tsx,43,right-6,right->end,P0,// 372px = 24px (right-6 du sticky) + 340px (largeur sticky) + 8px de marge.
apps/web/src/components/chat/ChatLauncher.tsx,44,right-5,right->end,P0,positionClass = 'right-5 sm:right-[372px]';
apps/web/src/components/chat/ChatLauncher.tsx,46,right-5,right->end,P0,positionClass = 'right-5 sm:right-7';
apps/web/src/components/chat/ChatLauncher.tsx,46,right-7,right->end,P0,positionClass = 'right-5 sm:right-7';
apps/web/src/components/chat/ChatLauncher.tsx,98,right-1,right->end,P0,"className=""absolute -top-1 -right-1 flex h-5 min-w-5 items-center justify-center rounded-full bg-rose-500 px-1 text-[10px] font-medium text-white"""
apps/web/src/components/layout/SommaireOverlay.tsx,179,left-0,left->start,P0,"'pointer-events-none absolute -bottom-1 left-0 h-px bg-encre transition-all duration-[350ms] ease-out',"
apps/web/src/components/layout/SommaireOverlay.tsx,193,ml-auto,ml->ms,P0,"className=""relative ml-auto mt-2 block h-14 w-14 shrink-0 overflow-hidden rounded-[2px] bg-encre/5 sm:h-16 sm:w-16 md:h-[88px] md:w-[88px]"""
